C,gamma,Accuracy
1.0,0.01,0.9824561403508771
10.0,0.01,0.9824561403508771
0.1,0.01,0.956140350877193
1.0,0.1,0.956140350877193
0.1,0.1,0.9473684210526315
10.0,0.1,0.9473684210526315
0.1,1.0,0.631578947368421
1.0,1.0,0.631578947368421
10.0,1.0,0.631578947368421
